Datetime,potencia
0,-28.04
0.00111,-28.34
0.002515,-27.75
0.003994,-28.04
0.005361,-27.6
0.006775,-27.31
0.008024,-28.04
0.00949,-28.34
0.010856,-28.34
0.012267,-27.9
0.013632,-27.75
0.01506,-28.19
0.016473,-28.34
0.017769,-28.78
0.019238,-28.63
0.020641,-27.9
0.022735,-27.16
0.023982,-27.16
0.025367,-27.16
0.026768,-26.86
0.028246,-26.57
0.029678,-27.01
0.031045,-27.6
0.032407,-26.72
0.033788,-26.13
0.035176,-26.13
0.036595,-25.39
0.037958,-25.53
0.03941,-25.53
0.040811,-25.68
0.042212,-26.13
0.043527,-26.86
0.044941,-26.72
0.046235,-26.27
0.047767,-25.98
0.049939,-25.83
0.051128,-27.31
0.05253,-27.6
0.054009,-26.72
0.055372,-26.57
0.056796,-26.13
0.058198,-26.57
0.05973,-27.01
0.060925,-26.42
0.062336,-26.72
0.063755,-26.27
0.065087,-26.27
0.066495,-26.57
0.067917,-26.27
0.069354,-25.83
0.070658,-25.39
0.072,-24.94
0.073484,-25.24
0.07492,-25.68
0.077004,-25.39
0.078246,-25.83
0.079668,-25.68
0.0811,-24.8
0.082508,-24.65
0.083875,-24.21
0.085285,-24.35
0.086644,-24.8
0.088067,-25.39
0.089407,-25.98
0.090831,-25.53
0.092301,-24.94
0.093543,-24.21
0.094925,-24.35
0.096426,-24.35
0.097804,-23.62
0.099914,-23.17
0.10121,-23.32
0.10261,-23.32
0.10397,-23.03
0.1054,-22.29
0.10688,-21.55
0.10824,-21.4
0.10967,-21.4
0.11092,-21.25
0.11233,-21.25
0.11372,-21.4
0.11513,-21.55
0.11656,-21.7
0.11792,-21.11
0.11934,-19.63
0.12065,-19.63
0.12199,-19.93
0.12351,-19.78
0.12561,-19.63
0.12686,-20.22
0.12822,-20.52
0.12967,-20.52
0.13115,-20.81
0.13256,-20.81
0.13392,-20.81
0.13527,-21.4
0.13672,-21.55
0.13802,-21.55
0.1396,-21.7
0.14087,-21.84
0.14228,-21.7
0.14361,-21.84
0.14499,-21.84
0.14638,-21.7
0.14781,-22.29
0.15006,-22.58
0.1512,-22.58
0.15263,-22.73
0.154,-23.32
0.1554,-23.62
0.15688,-23.32
0.15824,-23.17
0.15967,-22.88
0.16093,-22.29
0.16235,-22.44
0.16371,-23.03
0.16518,-22.73
0.16659,-22.44
0.1679,-22.14
0.16941,-21.4
0.17066,-21.11
0.17201,-20.96
0.17354,-21.7
0.17563,-21.7
0.17689,-21.55
0.1783,-21.55
0.17974,-21.25
0.18111,-21.4
0.18257,-21.55
0.18394,-21.84
0.18537,-21.84
0.18668,-21.7
0.1881,-21.55
0.18949,-21.84
0.19085,-21.84
0.19226,-21.99
0.19366,-21.7
0.19512,-21.7
0.19642,-22.14
0.19776,-22.44
0.19932,-22.58
0.20069,-22.44
0.20278,-22.29
0.20402,-22.58
0.20542,-22.73
0.2069,-22.73
0.2083,-22.58
0.20961,-22.58
0.21098,-22.73
0.21244,-23.17
0.21381,-22.73
0.21521,-22.58
0.21666,-23.03
0.21807,-23.32
0.21939,-23.03
0.2207,-23.17
0.22207,-23.76
0.22357,-24.06
0.22567,-23.91
0.22698,-23.91
0.22832,-23.32
0.2298,-23.32
0.23116,-23.76
0.2326,-23.76
0.23397,-23.32
0.23538,-23.47
0.23668,-23.91
0.2381,-23.76
0.23949,-23.32
0.24086,-23.47
